,상권_코드,화장품,문구점,약국,패션잡화,의류점,과일채소,정육점,휴대폰,컴퓨터판매수리,편의점,슈퍼마켓,자동차미용,자동차수리,세탁소,여관업,피부관리실,네일숍,미용실,헬스클럽,골프연습장,당구장,노래방,인테리어,보육시설,일반의원,한의원,치과의원,예체능학원,외국어학원,입시보습학원,호프간이주점,커피음료,제과점,치킨집,패스트푸드점,분식집,양식집,일식집,중국집,한식음식점
상권_코드,1,0.01,0.11,0.01,-0.01,0.02,-0.05,0.01,0.05,0.03,0.12,0.09,-0.04,0.05,0.03,0.04,0.03,-0.01,0.03,0.02,0.04,0.02,-0.03,0.02,0.05,0.00,0.00,0.01,0.03,0.02,-0.01,0.02,0.06,0.12,0.09,0.08,0.11,0.04,0.05,-0.07,0.06
화장품,0.014808434,1.00,0.39,0.34,0.49,0.55,-0.01,-0.02,0.07,0.04,0.65,0.24,0.12,0.04,0.26,0.24,0.66,0.49,0.72,0.50,0.17,0.62,0.46,0.18,-0.10,0.35,0.53,0.62,0.27,0.20,0.10,0.71,0.72,0.63,0.57,0.65,0.75,0.56,0.70,0.43,0.74
문구점,0.109128773,0.39,1.00,0.25,0.29,0.43,-0.11,-0.08,0.06,0.28,0.42,0.13,0.07,0.18,0.17,0.17,0.35,0.20,0.44,0.24,0.03,0.32,0.14,0.12,0.08,0.15,0.21,0.25,0.33,0.20,0.15,0.34,0.50,0.38,0.36,0.48,0.49,0.34,0.39,0.28,0.46
약국,0.012996996,0.34,0.25,1.00,0.21,0.26,-0.03,0.00,0.00,0.02,0.34,0.08,0.02,0.08,0.16,0.12,0.35,0.25,0.31,0.43,0.08,0.24,0.14,0.08,-0.06,0.58,0.42,0.49,0.29,0.09,0.08,0.32,0.42,0.39,0.40,0.37,0.44,0.34,0.32,0.24,0.46
패션잡화,-0.008440389,0.49,0.29,0.21,1.00,0.66,-0.04,-0.07,0.37,-0.01,0.50,0.13,0.04,0.24,0.01,0.11,0.32,0.41,0.48,0.19,-0.06,0.42,0.39,0.06,-0.16,0.17,0.26,0.32,0.08,0.01,-0.05,0.59,0.61,0.39,0.39,0.48,0.51,0.53,0.49,0.29,0.57
의류점,0.019456468,0.55,0.43,0.26,0.66,1.00,0.00,-0.02,0.13,-0.01,0.59,0.13,0.07,0.11,0.11,0.22,0.42,0.40,0.56,0.27,0.02,0.42,0.38,0.13,-0.11,0.18,0.32,0.34,0.15,0.05,0.01,0.63,0.69,0.46,0.42,0.50,0.57,0.59,0.59,0.36,0.64
과일채소,-0.050405239,-0.01,-0.11,-0.03,-0.04,0.00,1.00,0.44,-0.01,-0.03,0.02,-0.01,-0.01,0.03,0.15,0.00,0.00,0.11,-0.03,-0.03,-0.02,0.07,0.11,0.10,0.04,0.00,0.06,0.07,-0.08,-0.08,-0.06,0.02,-0.05,-0.05,0.01,-0.07,0.00,-0.06,0.13,-0.04,0.03
정육점,0.006399635,-0.02,-0.08,0.00,-0.07,-0.02,0.44,1.00,-0.04,-0.03,0.04,0.16,-0.01,0.01,0.13,-0.02,-0.06,0.08,0.05,-0.02,0.06,0.12,0.05,0.06,0.23,-0.03,0.14,0.12,-0.03,-0.06,-0.05,0.00,-0.10,-0.02,0.03,-0.08,0.03,-0.15,-0.02,-0.03,0.00
휴대폰,0.049633943,0.07,0.06,0.00,0.37,0.13,-0.01,-0.04,1.00,0.07,0.16,0.06,0.06,0.30,0.03,0.03,0.01,0.04,-0.01,0.05,-0.01,0.10,0.12,0.04,-0.11,-0.02,-0.04,0.02,-0.01,0.03,0.03,0.04,0.19,0.08,0.11,0.06,0.16,0.13,0.06,0.16,0.17
컴퓨터판매수리,0.034593623,0.04,0.28,0.02,-0.01,-0.01,-0.03,-0.03,0.07,1.00,0.12,-0.04,-0.03,0.05,0.10,0.04,0.04,0.01,0.04,0.08,0.14,0.02,-0.04,-0.01,-0.03,-0.03,-0.04,-0.03,0.08,0.16,0.09,0.03,0.07,0.01,0.02,0.09,0.19,0.06,0.06,0.06,0.10
