"","상권_코드","화장품","문구점","약국","패션잡화","의류점","과일채소","정육점","휴대폰","컴퓨터판매수리","편의점","슈퍼마켓","자동차미용","자동차수리","세탁소","여관업","피부관리실","네일숍","미용실","헬스클럽","골프연습장","당구장","노래방","인테리어","보육시설","일반의원","한의원","치과의원","예체능학원","외국어학원","입시보습학원","호프간이주점","커피음료","제과점","치킨집","패스트푸드점","분식집","양식집","일식집","중국집","한식음식점"
"1",1,189336265,96165771,455206891,217981762,713440181,186700782,77968378,33874385,79854183,868781148,1123010774,10664433,128518403,57234425,90558703,85997140,43982594,396090810,148719775,11418928,38221107,192303297,507109345,257842603,790857564,340517022,433308899,583900333,48587940,386281838,437819200,304692331,333817993,189844405,248348229,1360452523,711409576,209006510,208527857,3030680823
"2",2,201953144,181534544,251652700,16187097,480054926,347131357,287775814,1657268,74908483,628084723,2310414358,26568579,202308568,53990261,10947911,62671192,13840689,222693948,134148420,103647560,10744459,65356859,130353580,250284482,281924104,131634943,257436610,655148662,515783231,783120732,149093249,186314741,218376807,205486216,80768757,279946227,184031063,118695163,188862906,1292046771
"3",3,257830298,329470639,344806495,41961618,845870300,468207761,208633118,4814391,62493327,1013633379,2816905903,27644850,354040844,130570311,10947911,72967890,13396834,327907423,115975448,119328396,17496243,147322511,270016759,328317149,563355693,136497806,497045367,1526714518,1688646553,1566371895,404719771,341867930,335915544,265317782,320608704,524962252,326890418,745468643,319310366,3368822835
"4",4,406936690,89368943,470532700,194718846,1175228500,604150644,702606238,13540436,121812840,1384431208,3011000125,19551714,555695077,122603109,363973052,69801335,18956775,463142732,32150541,32966080,48891257,393264867,475436402,655466817,1376064274,190130007,480889154,398619724,77486053,139027981,737984175,221251810,288043360,491844215,279841953,357875746,372715657,681782494,491251066,3992098844
"8",8,181159683,307862767,372559968,26535175,242946734,60732853,150659809,19281782,20475511,564380525,1294518698,44424988,524822069,31996405,516521521,27087138,15783897,261142977,205950324,76508971,16499352,161933373,106792876,207344173,867489027,93023878,168719041,619809606,306864701,476446534,285163398,309847573,214001645,227338370,459139801,178895076,247400487,343183979,188604832,2093703810
"10",10,962623413,391731334,617627704,198759698,3838865211,2798307847,1063062620,401753577,606096442,2889995017,1572923255,70569100,1369810389,211403220,313188975,124976184,64863827,281730089,285809046,153135133,100901808,334663199,1260180887,264351478,3570224521,260015158,1165764243,149683347,20981282,353115463,843622665,903867602,393209479,308833241,143052625,1067817703,866668135,725397099,1311462820,6912820074
"11",11,410647545,285027629,542654461,1542898,3459969125,656504947,89112211,358545518,555190320,2385479906,1467746062,62105766,962243868,141032406,315343736,114094234,30254113,324937570,277233456,153135133,122587183,377196581,803917938,208128370,2857618500,242287707,781712299,95361189,20981282,346405586,662951007,542442133,343149670,300464170,221762511,959913186,836179032,705341311,1035725934,5410625093
"12",12,308410051,306180927,208434641,1480289,3740139752,340969158,97526659,283812238,623745687,2342627922,1210154143,14604931,706030106,125696249,394775219,93690725,3712964,244024318,140515567,48997985,84297207,262137532,162328594,182127987,510872118,62413450,235628492,86873208,13989412,341307547,403926479,360610191,205512398,286918242,211101524,690002014,734969529,611524538,639706944,4726787530
"17",17,134911802,224233005,469283126,53034689,842726223,559269539,491059961,7529262,28100702,931162875,3574622882,8383789,508906254,54447331,125749153,32021436,5866202,231587491,74417405,12592675,33455679,169985969,224816111,403761719,886831306,172336047,487800086,399331312,161127946,314384477,319619160,245476933,338742064,140599989,133333617,209779854,175490415,452095439,180923245,2116036712
"18",18,102500742,248625476,358486240,69094263,826361734,601025608,519973089,13865504,24295392,1203191385,3593910011,11868675,544355626,50181202,166452878,21553951,8090060,254979858,70539527,14083903,41583965,153902910,204277683,434337117,701853216,135702847,364898136,410864198,142880991,314489567,447179386,232273846,265919278,216096770,124886910,235856782,186884461,405387277,244112218,2616823242
"19",19,102978844,131812666,326139086,77941139,850871240,579037804,592043353,11637586,40299596,1008030583,3487428791,3484886,542853019,28234789,101637668,22699015,8090060,233962961,68399262,12592675,41043288,181459129,226390780,445292241,625248178,145320743,439177062,380735799,122980398,302030954,329139915,207961192,274618274,172019205,120744664,241134969,181544979,356315314,214848489,2162028345
"20",20,181617699,352594099,542116329,59640839,774251447,305505797,466346571,15961790,41618196,892826479,3049735890,8383789,550039168,26973839,141740823,33473983,5045121,301488942,54449846,7664129,40543497,185163272,344297807,270584942,927406684,209441587,545894875,1946691674,116497866,243918542,576707921,260887508,272043309,223760662,147620559,259782581,192883767,667214286,128232604,3476042520
"22",22,171566520,176777268,417812247,21793569,241360898,201954509,269519821,2235830,29566893,885279170,2215754330,8526983,409583147,80748458,24617091,34001565,24818693,382443015,75436256,13803697,22745187,95308941,128115823,420161136,1197491859,111528821,320864157,736843484,226937523,957540078,384924634,170762837,180903457,138537978,80329347,347467060,214924502,425754019,179265228,1982549951
"27",27,74571809,1324427,170723286,20806809,70119225,108030719,250218622,10126306,21555681,582706353,1754956295,2178218,152377254,60898067,15082561,35652870,4709511,255097129,27721212,13729247,19305742,147638726,125137971,279766148,473996552,42042669,176333154,426949943,82332918,312743230,177743567,158008681,116161108,90046834,159390468,193193143,137879808,420843623,224319937,1323975314
"30",30,1752077147,192912592,1355446203,317486545,3065363953,18118333,57927456,221427454,190905892,2140265960,1521769414,9617128,133000814,90115493,416383813,633498765,56211704,859012806,599333335,101711058,35584156,571507929,1993093462,51713566,11813710084,666853646,2323556342,1249919541,348643534,510593073,2051780012,1904515980,1247174369,344566810,600297904,1157394219,3957855955,3787594627,1487560392,10774544003
