"","상권_코드","한식음식점","일식집","양식집","분식집","패스트푸드점","제과점","호프간이주점","편의점","커피음료"
"1",1,3030680823,209006510,711409576,1360452523,248348229,333817993,437819200,868781148,304692331
"2",2,1292046771,118695163,184031063,279946227,80768757,218376807,149093249,628084723,186314741
"3",3,3368822835,745468643,326890418,524962252,320608704,335915544,404719771,1013633379,341867930
"4",4,3992098844,681782494,372715657,357875746,279841953,288043360,737984175,1384431208,221251810
"5",5,1781980655,284570125,22314162,168967748,79166025,232805720,279215409,662711082,199217236
"6",6,2231299300,299807050,60202232,168823849,283931188,221506840,266306277,747269405,299748483
"7",7,1907773540,338338272,77673060,205536045,68742798,197019253,271766524,719368398,104259155
"8",8,2093703810,343183979,247400487,178895076,459139801,214001645,285163398,564380525,309847573
"9",9,926265107,124397146,136296258,166013671,144241502,139095085,140038526,342414656,99160041
"10",10,6912820074,725397099,866668135,1067817703,143052625,393209479,843622665,2889995017,903867602
"11",11,5410625093,705341311,836179032,959913186,221762511,343149670,662951007,2385479906,542442133
"12",12,4726787530,611524538,734969529,690002014,211101524,205512398,403926479,2342627922,360610191
"13",13,1629851374,336823813,355347547,226611988,268322142,176637506,345722290,752599101,368048219
"14",14,2403176752,383467382,364181972,269931503,274476160,142520705,402482183,882377196,392943347
"15",15,2383092192,383467382,364181972,269931503,274476160,142520705,402482183,882377196,392943347
"16",16,889550581,159599939,83689449,116548989,49114947,113316418,271702547,536510102,64302650
"17",17,2116036712,452095439,175490415,209779854,133333617,338742064,319619160,931162875,245476933
"18",18,2616823242,405387277,186884461,235856782,124886910,265919278,447179386,1203191385,232273846
"19",19,2162028345,356315314,181544979,241134969,120744664,274618274,329139915,1008030583,207961192
"20",20,3476042520,667214286,192883767,259782581,147620559,272043309,576707921,892826479,260887508
"21",21,1529099618,308889679,208335927,168175620,106734738,282236646,289939301,829468570,137988827
"22",22,1982549951,425754019,214924502,347467060,80329347,180903457,384924634,885279170,170762837
"23",23,5164137377,1069785194,562884893,695124284,490424867,701076221,1428063429,1290846592,540884247
"24",24,5256846456,1171961847,580619849,643266018,493866819,734537712,1390948198,1297349402,556403649
"25",25,4555467163,1023169054,309899625,442724188,131004047,193715507,1170494158,1122915305,337716639
"26",26,1513627937,267859233,206274473,158467605,93172828,224232034,351621985,834852658,156221473
"27",27,1323975314,420843623,137879808,193193143,159390468,116161108,177743567,582706353,158008681
"28",28,619474393,197839153,58012956,91834972,137539737,105347791,95195647,403218919,58767427
"29",29,3299333078,654432233,411746589,537646082,388108017,597068953,869391382,1559729658,398645293
"30",30,10774544003,3787594627,3957855955,1157394219,600297904,1247174369,2051780012,2140265960,1904515980
"31",31,12631743756,2693012695,1257011293,1118421843,551699364,636881220,2657408623,2487850114,1360658526
"32",32,10672518451,1819503221,1151712658,1155655372,412083200,282655614,1273288900,1954816395,1025174349
"33",33,5346328283,804398995,609622792,546225336,201631676,270076000,374473588,1682522955,644679303
"34",34,6842888855,1348543135,1380894772,556368915,101257158,445481461,771934696,1330215356,607636883
"35",35,3658826227,215340373,64276961,156593270,138949805,133626149,73881993,342652251,96172060
"36",36,4405906819,656896225,326631710,711751282,517774791,626253924,797148485,2151047763,533075328
"37",37,3530337387,424667802,173321215,664400633,468745708,494276358,596763277,1916404475,494748821
"38",38,2147621213,322932986,109406735,452219261,322904024,389170362,359839893,1210455459,374932743
"39",39,5191439558,817208267,479832310,887390234,563141585,868320238,966455207,1345210743,725791367
"40",40,2672289166,371719259,314716879,671667505,599489660,680933742,289988595,915369183,500892388
"41",41,2339250574,403195008,268169786,552945580,524271581,532883220,209066365,802820002,443679527
"42",42,2083886740,314816586,259621889,399360115,417495096,515494802,224590314,761446000,360408268
"43",43,2289575422,417514302,520698152,542021276,506624945,496550889,239595227,715401840,429661084
"44",44,6042330558,1058594972,292027088,598227271,418656560,452799327,1294444956,2325767753,450758968
"45",45,3096891430,585677039,191402068,261724935,196943615,187788429,286423200,1113147278,510819795
"46",46,6982616640,1279192684,477709621,758641351,687031588,502613880,1544482563,2151064349,598509228
"47",47,3261409408,419413279,175773736,446336536,314087224,440098408,768715102,835777186,258255255
"48",48,1516446388,213926326,114526678,235561096,291414495,237793288,311168572,554077581,148024283
"49",49,4064910413,399585637,855877020,477675867,550459186,410628789,946653572,1257273760,844615156
"50",50,608051239,242145478,167325205,217119245,82621323,179391126,107173204,285899908,214757238
"51",51,623032090,135345572,51030750,181521660,39480048,171037118,156531462,154549662,81945360
"52",52,1587217350,349158381,97611181,287857636,166741363,363725011,169151106,845503962,314222234
"53",53,2331593846,442314394,156346493,289687096,224864253,330400874,277967224,1099742937,365805559
