상권명,LAT,LON, 업종연관지수 ,커피음료매출 
광나루로12길,37.5471503,127.0677893,"1,658,290,279","422,942,753"
광나루로56길,37.5371349,127.0967008,"977,707,236","391,700,406"
능동로19길,37.5471414,127.071806,"1,415,975,041","715,417,615"
능동로35길,37.5569148,127.0774885,"982,348,208","420,501,380"
능동로4길,37.5319771,127.0701616,"745,212,949","257,426,755"
동일로72길,37.5655914,127.0790805,"664,139,138","366,379,872"
뚝섬로27길,37.5370938,127.0660929,"3,448,124,204","1,830,518,442"
뚝섬로56길,37.530015,127.0825326,"515,116,852","181,615,553"
면목로13길,37.5694998,127.0821369,"392,520,066","562,932,493"
아차산로51길,37.5394953,127.0850152,"1,189,729,152","410,543,076"
아차산로70길,37.5408696,127.1010086,"456,073,127","349,483,445"
아차산로76길,37.5473456,127.1079125,"1,719,654,696","1,244,203,008"
자양로15길,37.5349614,127.0802384,"1,603,908,523","639,229,725"
자양번영로1길,37.5306832,127.0731591,"505,993,178","217,726,180"
천호대로111길,37.5576567,127.0826981,"1,349,657,609","506,001,943"
천호대로134길,37.5482236,127.0897298,"703,342,597","295,536,072"
